year,fire_id,date,date_l,date_u,obs,datesrc,fire_id,date_l2,date_u2,obs2,diff_l,diff_u,use_thomas,
2009,2009_3,2008-12-15,2008-12-15,2008-12-15,NA,modis_hotspot,2009_3,2008-12-11,2008-12-19,NA,4,-4,0,
2010,2010_2103415071,2010-03-11,2010-03-10,2010-03-13,NA,modis_hotspot,2010_2103415071,2010-03-04,2010-03-13,https://www.infobae.com/2010/03/15/505649-mas-400-hectareas-vegetacion-se-quemaron-chubut/,6,0,1,
2011,2011_18,2011-03-01,2011-03-01,2011-03-01,2011_19_18 could be the same event,modis_hotspot,2011_18,2011-02-28,2011-03-01,https://www.elpatagonico.com/se-desato-un-voraz-incendio-el-cerro-currumahuida-lago-puelo-n1391763,1,0,1,
2011,2011_19,2011-03-01,2011-03-01,2011-03-01,2011_19_18 could be the same event,modis_hotspot,2011_19,2011-02-28,2011-03-01,https://www.elpatagonico.com/se-desato-un-voraz-incendio-el-cerro-currumahuida-lago-puelo-n1391763,1,0,1,
2012,2012_2,2012-01-06,2012-01-06,2012-01-07,NA,modis_hotspot,2012_2,2012-01-06,2012-01-07,https://sanmartinadiario.com.ar/actualidad/%3C/actualidad/2492-lograron-contener-el-incendio-en-tres-puentes.html,0,0,1,
2012,2012_57,2012-01-06,2012-01-04,2012-01-07,2012_57_58 could be the same event,modis,2012_57,2012-01-03,2012-01-11,2012_57_58 could be the same event,1,-4,1,
2012,2012_58,2012-01-06,2012-01-04,2012-01-07,2012_57_58 could be the same event,modis,2012_58,2012-01-03,2012-01-11,https://www.diarioandino.com.ar/noticias/2012/01/11/67844-extinguen-incendio-en-el-hoyo-pero-continuan-los-problemas-con-los-servicios,1,-4,1,
2012,2012_71,2011-12-16,2011-12-16,2011-12-16,NA,modis_hotspot,2012_71,2011-12-17,2011-12-18,http://www.noticiasdelbolson.com.ar/2011/12/incendio-valle-frio.html,-1,-2,1,
2013,2013_12,2013-02-08,2013-02-08,2013-02-08,NA,modis_hotspot,2013_12,2013-01-28,2013-01-30,https://www.anbariloche.com.ar/noticias/2013/01/30/33733-incendio-en-el-cerro-otto-esta-contenido,11,9,1,
2014,2014_1,2014-01-17,2014-01-17,2014-01-18,NA,modis,2014_1,2013-12-29,2014-01-20,file:///G:/My%20Drive/a_ivan/fechas%20fuegos/informe_sup_incendios_2014_2015.pdf,19,-2,1,
2014,2014_3,2014-01-16,2014-01-14,2014-01-17,2014_3_4 same fire event,modis,2014_3,2013-12-30,2014-02-04,2014_3_4 same fire event,15,-18,1,
2014,2014_4,2013-12-30,2013-12-30,2013-12-30,2014_3_4 same fire event,modis,2014_4,2013-12-30,2014-02-04,2014_3_4 same fire event,0,-36,1,
2014,2014_45,2013-10-27,2013-10-27,2013-10-27,NA,modis_hotspot,2014_45,2013-10-28,2013-10-31,https://www.rionegro.com.ar/incendio-forestal-en-el-foyel-IPRN_1337493/ http://www.radioampm.com.ar/2013/11/splif-reporte-incendio-sierra-chata-3110.html,-1,-4,1,
2015,2015_-1891182279,2015-01-05,2015-01-05,2015-01-05,NA,modis,2015_-1891182279,2015-01-03,2015-01-08,https://www.danbat.net/2015/01/incendio-de-la-recta-de-jones-algunas-fotos-mas/ https://www.radiofueguina.com/2015/01/08/se-reactivo-otra-vez-el-incendio-del-parque-nahuel-huapi/,2,-3,1,
2015,2015_11,2015-01-22,2015-01-20,2015-01-24,NA,modis,2015_11,2015-01-18,2015-01-26,https://www.argentina.gob.ar/noticias/incendio-forestal-en-el-parque-nacional-lanin https://www.argentina.gob.ar/noticias/lograron-contener-el-incendio-de-huechulafquen,2,-2,1,
2015,2015_16,2015-01-04,2015-01-04,2015-01-05,NA,modis,2015_16,2015-01-03,2015-01-08,https://www.danbat.net/2015/01/incendio-de-la-recta-de-jones-algunas-fotos-mas/ https://www.radiofueguina.com/2015/01/08/se-reactivo-otra-vez-el-incendio-del-parque-nahuel-huapi/,1,-3,1,
2015,2015_1655872866,2015-02-14,2015-02-14,2015-02-14,NA,modis,2015_1655872866,2015-02-16,2015-03-22,file:///G:/My%20Drive/a_ivan/fechas%20fuegos/informe_sup_incendios_2014_2015.pdf,-2,-36,1,
2015,2015_40,2015-02-28,2015-02-02,2015-03-25,2015_40-41-42 could be the same event,modis,2015_40,2015-03-25,2015-03-30,2015_40-41-42 could be the same event https://www.pagina12.com.ar/diario/sociedad/3-269280-2015-03-30.html,-51,-5,1,
