year,fire_id,area_ha,date,date_l,date_u,datesrc,name,obs,collec
1999,1999_1053358404,98.5816862578015,1999-03-14,1999-02-10,1999-04-15,landsat,1999_1053358404,NA,3
1999,1999_27j_N,468.050356821236,1999-03-22,1999-02-10,1999-04-30,landsat,1999_27j_N,NA,1
1999,1999_27j_S,3608.41364339144,1999-03-22,1999-02-10,1999-04-30,landsat,1999_27j_S,NA,1
1999,1999_28,386.828203089648,1999-03-22,1999-02-10,1999-04-30,landsat,Falso Granitoo,NA,1
1999,1999_1546963766,95.0430967779782,1999-05-22,1999-10-01,1999-01-09,landsat,1999_1546963766,NA,2
2000,2000_-1081444844,15.865889912081,1999-09-15,1999-08-22,1999-10-09,landsat,2000_-1081444844,NA,3
2000,2000_31j,1943.66456067889,1999-10-16,1999-10-08,1999-10-25,landsat,2000_31j,NA,1
2000,2000_34,215.157114051316,1999-10-28,1999-10-08,1999-11-17,landsat,Esperanza,NA,1
2000,2000_164,315.96129388004,1999-10-29,1999-10-09,1999-11-17,landsat,2000_164,uncertain_year,1
2000,2000_7,183.362947292562,1999-12-15,1999-12-11,1999-12-19,landsat,Machonico 1999,NA,1
2000,2000_19,170.640367120435,2000-01-01,1999-12-28,2000-01-04,landsat,2000_19,NA,1
2000,2000_1899410157,93.5903328262647,2000-01-24,1999-12-27,2000-02-21,landsat,2000_1899410157,NA,3
2000,2000_8,42.624227805478,2000-02-05,2000-01-20,2000-02-21,landsat,2000_8,NA,1
2001,2001_18,21.4177585024559,2000-12-29,2000-12-21,2001-01-06,landsat,2001_18,NA,1
2002,2002_1336386849,15.1013614279464,2001-11-02,2001-10-29,2001-11-06,landsat,2002_1336386849,NA,3
2002,2002_-408959425,41.1283051362281,2001-11-03,2001-10-30,2001-11-06,landsat,2002_-408959425,NA,3
2002,2002_34,15.2580278502523,2001-12-20,2001-12-16,2001-12-25,landsat,2002_34,NA,1
2002,2002_36,2349.67132434463,2001-12-20,2001-12-18,2001-12-22,modis,Turbio 2002,NA,1
2002,2002_1449865453,69.3343046677799,2001-12-21,2001-12-17,2001-12-24,landsat,2002_1449865453,NA,2
2002,2002_33,1239.47817494272,2001-12-26,2001-12-26,2001-12-26,modis,2002_33,NA,1
2002,2002_1083269547,247.890703710926,2002-02-03,2002-01-26,2002-02-11,landsat,2002_1083269547,NA,3
2002,2002_756476410,20.5879933966831,2002-02-03,2002-01-18,2002-02-18,landsat,2002_756476410,NA,3
2002,2002_1882950134,2935.49622692322,2002-02-12,2002-02-12,2002-02-12,modis,2002_1882950134,NA,2
2002,2002_19,2674.58434408914,2002-02-14,2002-02-12,2002-02-17,modis,2002_19,NA,1
2002,CoCampana,14.761058102881,2002-02-17,2002-02-01,2002-03-05,landsat,CoCampana,NA,1
2002,2002_7,187.11475673911,2002-02-24,2002-02-24,2002-02-24,modis,2002_7,NA,1
2003,2003_1215845321,155.414458082377,2002-11-29,2002-11-25,2002-12-04,landsat,2003_1215845321,NA,2
2003,2003_21,146.232202811863,2003-02-17,2003-02-13,2003-02-22,landsat,2003_21,NA,1
2003,2003_2035531240,45.7500318228672,2003-02-21,2003-02-13,2003-03-01,landsat,2003_2035531240,NA,2
2003,2003_10067931,11.0511450084259,2003-04-15,2003-04-11,2003-04-18,landsat,2003_10067931,NA,2
2004,2004_1548360401,11.6559713026313,2003-10-15,2003-10-15,2003-10-15,modis,2004_1548360401,NA,2
2004,2004_2092170006,22.2606937508516,2004-01-07,2003-12-30,2004-01-15,landsat,2004_2092170006,NA,2
2004,2004_23,300.357190642936,2004-01-16,2004-01-16,2004-01-16,modis,2004_23,NA,1
2004,2004_-481599461,289.342164573254,2004-01-23,2004-01-15,2004-01-31,landsat,2004_-481599461,NA,2
2004,2004_-167571654,10.4174299462721,2004-01-23,2004-01-15,2004-01-31,landsat,2004_-167571654,NA,2
2004,2004_1543222283,1818.6919266974,2004-02-16,2004-02-08,2004-02-24,landsat,2004_1543222283,NA,2
2004,2004_34,960.671941838039,2004-03-28,2004-03-28,2004-03-28,modis,2004_34,NA,1
2005,2005_8,23.8871659832735,2005-01-19,2005-01-19,2005-01-19,modis,2005_8,NA,1
2005,2005_9,14.3444674835815,2005-01-19,2005-01-19,2005-01-19,modis,2005_9,NA,1
2005,2005_6,53.6740801152893,2005-01-22,2005-01-18,2005-01-25,landsat,2005_6,NA,1
2005,2005_24,1112.00414263531,2005-02-28,2005-02-27,2005-03-01,modis,2005_24,NA,1
2005,2005_1053195312,136.0127655175,2005-04-03,2005-03-22,2005-04-15,landsat,2005_1053195312,NA,3
2005,2005_14,12.6747578338731,2005-05-25,2005-04-15,2005-07-04,landsat,2005_14,NA,1
2005,2005_26,13.55153922607,2005-06-06,2005-03-30,2005-08-14,landsat,2005_26,NA,1
2005,2005_17,15.0814262452916,2005-06-14,2005-04-15,2005-08-14,landsat,2005_17,uncertain_year,1
2005,2005_25,44.8730606612298,2005-06-22,2005-04-15,2005-08-30,landsat,2005_25,uncertain_year,1
2006,2006_-959432815,12.0211694018101,2005-09-19,2005-09-15,2005-09-23,landsat,2006_-959432815,NA,2
2006,2006_20E,69.7024048020993,2005-09-23,2005-09-15,2005-09-30,landsat,2006_20E,NA,1
2006,2006_20W,15.3852545814556,2005-09-23,2005-09-15,2005-09-30,landsat,2006_20W,NA,1
2006,2006_36,44.4387497807713,2005-10-05,2005-09-23,2005-10-16,landsat,2006_36,NA,1
2006,2006_38,29.8113674132635,2005-11-01,2005-10-16,2005-11-17,landsat,2006_38,NA,1
2006,2006_18,254.347515651423,2006-02-05,2006-01-28,2006-02-13,landsat,2006_18,NA,1
2007,2007_1025029743,12.3917000228862,2006-09-22,2006-09-02,2006-10-12,landsat,2007_1025029743,NA,3
2007,2007_35,12.0051195472172,2007-02-12,2007-02-08,2007-02-17,landsat,2007_35,NA,1
2007,2007_560885410,11.2041374074388,2007-02-13,2007-02-09,2007-02-16,landsat,2007_560885410,NA,2
2008,2008_34,40.9206198330957,2007-10-07,2007-09-29,2007-10-15,landsat,2008_34,NA,1
2008,2008_36,28.3629704211653,2007-11-15,2007-11-07,2007-11-23,landsat,2008_36,NA,1
2008,2008_1631519374,1472.44134319293,2007-11-19,2007-11-07,2007-12-02,landsat,2008_1631519374,NA,2
2008,2008_1026773598,38.0340234636737,2007-12-10,2007-12-02,2007-12-18,landsat,2008_1026773598,NA,3
2008,2008_41,16.871578522394,2008-01-15,2008-01-11,2008-01-18,landsat,2008_41,NA,1
2008,2008_560885410,34.349768734469,2008-01-19,2008-01-19,2008-01-19,landsat,2008_560885410,NA,2
2008,2008_38,75.8416589131434,2008-01-26,2008-01-26,2008-01-26,modis,2008_38,NA,1
2008,2008_40,28.3472458260337,2008-01-26,2008-01-26,2008-01-26,modis,2008_40,NA,1
2008,2008_42,21.6696283419895,2008-01-30,2008-01-26,2008-02-03,landsat,2008_42,NA,1
2008,2008_64,44.0328403954014,2008-02-04,2008-02-04,2008-02-04,modis,2008_64,NA,1
2008,2008_-63129236,227.643065121801,2008-02-15,2008-02-11,2008-02-19,landsat,2008_-63129236,NA,2
2008,2008_47,35.4868135636524,2008-02-23,2008-02-19,2008-02-27,landsat,2008_47,NA,1
2008,2008_2129384321,26.1056973720845,2008-02-27,2008-02-25,2008-02-28,modis,2008_2129384321,NA,2
2008,2008_1379405717,5516.7139990408,2008-02-28,2008-02-27,2008-02-28,landsat,2008_1379405717,NA,2
2008,2008_5,2460.71547688201,2008-03-17,2008-02-27,2008-04-05,modis,Lolog 2008,NA,1
2008,2008_2103644450,55.869370108723,2008-03-18,2008-03-14,2008-03-23,landsat,2008_2103644450,NA,2
2008,2008_3,255.774485607681,2008-04-05,2008-04-05,2008-04-05,modis,2008_3,NA,1
2009,2009_1632083441_r,29.3912742281289,2008-07-20,2008-05-01,2008-10-09,landsat,2009_1632083441_r,NA,2
2009,2009_64,13.729339448221,2008-09-07,2008-07-29,2008-10-16,landsat,2009_64,NA,1
2009,2009_1914311912_r,11.3537445137814,2008-10-16,2008-10-16,2008-10-17,landsat,2009_1914311912_r,NA,2
2009,2009_69,193.032491110609,2008-11-02,2008-11-02,2008-11-02,modis,2009_69,2009_67_68_69 could be the same event,1
2009,2009_67,35.4410704864216,2008-11-10,2008-11-02,2008-11-17,landsat,2009_67,2009_67_68_69 could be the same event,1
2009,2009_68,30.5504601728374,2008-11-10,2008-11-02,2008-11-17,landsat,2009_68,2009_67_68_69 could be the same event,1
2009,2009_3,46.6406427862879,2008-12-15,2008-12-11,2008-12-19,landsat,2009_3,NA,1
2009,2009_28,483.562851748137,2009-01-16,2009-01-16,2009-01-16,modis,Los Repollos ? Cuesta del Ternero,NA,1
2009,2009_26,1773.64257638036,2009-01-19,2009-01-17,2009-01-20,modis,Los Repollos ? Cuesta del Ternero,NA,1
2009,2009_1852126072,71.5266464593724,2009-01-24,2009-01-20,2009-01-28,landsat,2009_1852126072,NA,2
2009,2009_55,42.2964483061603,2009-01-25,2009-01-21,2009-01-28,landsat,2009_55,2009_55_56 could be the same event,1
2009,2009_56,17.995190927145,2009-01-25,2009-01-21,2009-01-28,landsat,2009_56,2009_55_56 could be the same event,1
2009,2009_2007583421,2945.34982984603,2009-03-09,2009-03-01,2009-03-17,landsat,2009_2007583421,NA,2
2009,2009_2146731698,45.5110825115085,2009-03-16,2009-03-16,2009-03-16,modis,2009_2146731698,NA,2
2010,2010_1846812908,21.3193118929127,2009-10-01,2009-09-28,2009-10-04,landsat,2010_1846812908,NA,2
