class,aspect,elevation,slope
marginal,0,769,0
marginal,329.71725,1705,30.161535
marginal,184.3498,1190,16.289503
marginal,60.962425,1226,32.360783
marginal,167.24034,1373,5.6871004
marginal,73.659294,1116,65.9799
marginal,94.34557,1040,12.059281
marginal,145.97435,652,8.88094
marginal,192.85059,1371,33.589943
marginal,47.13469,1632,6.78511
marginal,111.66002,630,36.70745
marginal,161.38585,204,3.9086707
marginal,137.11897,856,22.76944
marginal,296.5213,848,8.250913
marginal,120.311005,803,7.310985
marginal,142.11617,895,31.604145
marginal,12.839578,1430,29.44468
marginal,42.552193,657,11.187052
marginal,184.89763,865,45.667244
marginal,116.04616,1213,12.472831
marginal,289.75003,793,2.7426336
marginal,204.50916,752,23.121487
marginal,103.121704,1552,12.074512
marginal,84.6829,531,9.908789
marginal,0,1749,5.547545
marginal,103.79389,1406,25.419516
marginal,81.66725,973,6.373524
marginal,123.23231,809,13.295266
marginal,90,795,7.2921777
marginal,145.60019,1172,6.713551
marginal,19.258589,827,3.923736
marginal,98.0678,1487,19.08707
marginal,53.867897,363,9.353733
marginal,193.69052,2120,44.9905
marginal,259.41702,1328,5.0370507
marginal,216.10994,1723,40.08264
marginal,111.140526,1697,30.263315
marginal,204.3144,543,3.0504158
marginal,209.15187,926,7.392801
marginal,280.42282,1268,5.113171
marginal,81.21527,1594,32.45507
marginal,0,519,0
marginal,317.1199,402,19.4662
marginal,0,585,21.231472
marginal,175.02977,1722,25.987663
marginal,131.33203,643,8.366378
marginal,220.89374,2005,10.9088955
marginal,232.15134,1494,1.5112602
marginal,116.416885,627,8.2807455
marginal,0,799,0.92740995
marginal,180,1071,27.384548
marginal,222.40656,371,7.4936914
marginal,6.3001432,916,11.058137
marginal,210.38849,1271,9.586405
marginal,200.65024,1527,29.720955
marginal,15.028466,1294,31.106684
marginal,154.10162,1330,17.009663
marginal,0,769,0
marginal,232.52689,1686,28.01976
marginal,32.093155,2068,27.289576
marginal,38.61056,1297,44.235462
marginal,22.083408,1182,25.251982
marginal,274.92627,1161,10.675354
marginal,110.83715,1487,12.818813
marginal,342.96786,1319,16.05664
marginal,123.3908,1107,35.21943
marginal,319.3226,1155,7.2981
marginal,0,769,0
marginal,161.83557,1085,7.761265
marginal,145.63768,1010,2.245991
marginal,73.41815,698,18.795275
