class,aspect,elevation,slope
burned,101.40984,744,26.149687
burned,325.8595,879,21.363832
burned,95.274536,1196,46.575104
burned,243.29268,557,31.479523
burned,7.962336,335,25.361662
burned,338.03293,1363,32.855824
burned,15.996543,424,29.06157
burned,70.18209,581,42.214115
burned,335.20953,809,3.0619946
burned,216.2081,465,25.710545
burned,177.42522,885,26.67166
burned,66.36984,812,27.699987
burned,281.03882,526,22.91449
burned,354.68216,647,13.705001
burned,60.391552,688,62.6471
burned,229.81902,973,20.623358
burned,50.484783,900,11.504229
burned,8.881487,1078,23.073507
burned,82.83983,1224,37.92698
burned,303.97934,664,16.153101
burned,11.115221,1221,42.218964
burned,63.82194,1253,34.883278
burned,326.45462,861,4.442418
burned,38.94479,1006,17.338524
burned,180,731,2.7802885
burned,325.65216,674,2.2456036
burned,19.57153,894,33.138695
burned,76.06306,709,3.845061
burned,64.50187,678,4.300988
burned,163.35751,821,25.317635
burned,81.01375,693,31.874155
burned,253.68513,715,12.979972
burned,167.72786,1162,16.60426
burned,40.05473,1410,26.910812
burned,357.90164,907,30.93634
burned,306.50848,639,10.783566
burned,0,711,8.2891
burned,161.65697,831,11.565975
burned,99.69102,698,16.092443
burned,132.24307,640,33.029232
burned,27.547867,909,13.352121
burned,120.49475,1112,22.523552
burned,145.64577,571,2.2457745
burned,340.7889,975,21.518068
burned,185.73338,1318,22.928268
burned,184.38081,1262,29.60663
burned,2.0096416,1520,30.934937
burned,32.80367,1071,2.205824
burned,242.68254,604,29.439411
burned,348.81335,1399,38.3814
burned,180,1375,1.8543341
burned,43.896454,997,8.936657
burned,49.57797,985,20.52984
burned,265.30832,942,11.194746
burned,327.74936,362,16.019388
burned,39.165085,1537,21.637873
burned,100.34516,830,5.1509247
burned,63.232727,767,28.331411
burned,124.53327,1235,21.79051
burned,234.30496,866,3.1759622
burned,18.04253,1430,37.45653
burned,174.33101,1357,11.940714
burned,335.32242,520,6.1011
burned,286.7833,709,36.084293
burned,286.42932,872,18.952827
burned,79.5435,1241,31.979008
burned,320.34006,1183,33.098152
burned,213.83653,1280,4.457433
burned,174.04967,765,11.946509
burned,293.98764,491,6.81201
burned,51.35899,1110,19.94745
burned,113.26397,1075,40.71811
burned,19.84332,1521,39.55878
burned,14.554091,1077,4.7800794
burned,306.58142,735,1.5559027
burned,171.44264,763,8.3811
burned,64.31421,1042,4.271785
burned,233.83994,610,6.262556
burned,34.119236,691,4.4722204
burned,352.68588,1055,18.918226
burned,274.7659,1035,11.025083
burned,63.739197,664,4.184991
burned,76.4787,967,3.9605894
burned,37.76604,936,35.629536
burned,144.51047,1315,20.693775
burned,317.63354,566,3.7605424
burned,287.97845,803,20.159084
burned,23.543453,894,26.30843
burned,228.15947,1192,44.14803
burned,330.53583,1028,12.577243
burned,325.95248,994,30.37489
burned,250.28178,676,8.190686
burned,294.3107,1232,36.76324
burned,288.95282,1016,16.649035
burned,296.17966,598,4.197002
burned,97.111046,773,7.4500175
burned,182.86581,453,23.63501
burned,342.01993,577,23.04843
burned,160.91887,1125,38.836075
burned,298.74332,471,16.854774
burned,71.77549,1027,22.493822
burned,125.69823,879,1.5890789
burned,302.75882,986,15.069294
burned,185.9507,690,11.946517
burned,315.50024,796,30.544329
burned,53.490665,516,3.1147869
burned,110.080154,427,2.6994226
burned,131.52844,796,8.334401
burned,339.69614,1304,37.21485
burned,152.44571,990,8.3104515
burned,345.0418,1057,14.108111
burned,131.20963,1173,11.120738
burned,193.63686,552,33.009228
burned,219.13469,620,5.9571285
burned,42.980526,791,7.5624685
burned,108.474045,1311,24.6916
burned,244.92957,807,10.814044
burned,343.89563,1317,25.256569
burned,38.561344,859,16.163092
burned,170.89644,642,39.34194
burned,35.81053,1177,19.763567
