"","year","vegetation_code","area_ha","vegetation_class","area_ha_available","area_ha_burned","area_ha_annual","proportion_burned_annual","burn_distribution"
"132",2010,7,0,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,36.5082640343808,0,0
"133",2011,7,71.5988678366542,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,985.120641628406,0.00163986982507618,0.0726803041283362
"134",2012,7,125.555550358225,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,3992.96274202192,0.00287567058843743,0.0314442078401782
"135",2013,7,0,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,142.424305083999,0,0
"136",2014,7,1.07764068751583,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,5154.18846723199,2.46818210835851e-05,0.000209080574830933
"137",2015,7,39.392215531855,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,41186.3641255405,0.000902222444926927,0.000956438286511119
"138",2016,7,448.710367248427,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,10058.4227727627,0.0102770702063091,0.0446104103382386
"139",2017,7,0,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,25.4717382660547,0,0
"140",2018,7,0,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,451.448197759864,0,0
"141",2019,7,11.8272572367036,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,136.978254435066,0.000270886437759494,0.086344049903996
"142",2020,7,0,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,88.3472770584689,0,0
"143",2021,7,549.531981865208,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,16986.7653409727,0.0125862453164898,0.0323505959395175
"144",2022,7,0,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,6940.11393489409,0,0
"145",1999,8,0,"Plantation",9401.88032582934,1200.84758277557,9730.53514245129,0,0
"146",2000,8,0,"Plantation",9401.88032582934,1200.84758277557,991.507207091774,0,0
"147",2001,8,0,"Plantation",9401.88032582934,1200.84758277557,17.0233689489065,0,0
"148",2002,8,44.8889982622044,"Plantation",9401.88032582934,1200.84758277557,7110.35944678443,0.00477447028748951,0.00631318270168534
"149",2003,8,101.410407035728,"Plantation",9401.88032582934,1200.84758277557,167.011017713672,0.0107861835634227,0.607207886186218
"150",2004,8,0,"Plantation",9401.88032582934,1200.84758277557,1657.21981350995,0,0
"151",2005,8,0,"Plantation",9401.88032582934,1200.84758277557,1132.12768351955,0,0
"152",2006,8,109.76130130042,"Plantation",9401.88032582934,1200.84758277557,5845.34100615013,0.0116743988964503,0.0187775702366954
"153",2007,8,0,"Plantation",9401.88032582934,1200.84758277557,23.2092569547019,0,0
"154",2008,8,0,"Plantation",9401.88032582934,1200.84758277557,6853.09347829846,0,0
"155",2009,8,627.168722937577,"Plantation",9401.88032582934,1200.84758277557,2613.06144766781,0.0667067332493678,0.240013002180769
"156",2010,8,0,"Plantation",9401.88032582934,1200.84758277557,36.5082640343808,0,0
"157",2011,8,120.372643364954,"Plantation",9401.88032582934,1200.84758277557,985.120641628406,0.0128030393063247,0.122190763525143
"158",2012,8,0,"Plantation",9401.88032582934,1200.84758277557,3992.96274202192,0,0
"159",2013,8,0,"Plantation",9401.88032582934,1200.84758277557,142.424305083999,0,0
"160",2014,8,0,"Plantation",9401.88032582934,1200.84758277557,5154.18846723199,0,0
"161",2015,8,3.75313790630039,"Plantation",9401.88032582934,1200.84758277557,41186.3641255405,0.000399190138167317,9.1125739938112e-05
"162",2016,8,0,"Plantation",9401.88032582934,1200.84758277557,10058.4227727627,0,0
"163",2017,8,0,"Plantation",9401.88032582934,1200.84758277557,25.4717382660547,0,0
"164",2018,8,0,"Plantation",9401.88032582934,1200.84758277557,451.448197759864,0,0
"165",2019,8,0,"Plantation",9401.88032582934,1200.84758277557,136.978254435066,0,0
"166",2020,8,0,"Plantation",9401.88032582934,1200.84758277557,88.3472770584689,0,0
"167",2021,8,555.298882313027,"Plantation",9401.88032582934,1200.84758277557,16986.7653409727,0.0590625346280446,0.0326900896766746
"168",2022,8,0,"Plantation",9401.88032582934,1200.84758277557,6940.11393489409,0,0
