system:index,Burned,Fire_ID,LANDSAT_ID,Year,dnbr,nbr_delta,nbr_min,ndvi_max,.geo
0_000000000000000001ae_53,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.009652749,0.056583643,0.07861793,0.37182173,
0_000000000000000001ae_54,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,-0.016070426,-0.058767438,0.6415929,0.8016224,
0_000000000000000001ae_55,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,-0.03063786,-0.08824682,0.6829464,0.8459846,
0_000000000000000001ae_56,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.04649365,0.121421665,0.14989227,0.46078432,
0_000000000000000001ae_57,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.05198437,-0.12667859,0.61204994,0.7879026,
0_000000000000000001ae_58,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.12423527,0.107078046,0.38946527,0.694291,
0_000000000000000001ae_59,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.023417711,-0.027173042,0.6617157,0.82339954,
0_000000000000000001ae_60,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.08753842,0.0076416433,0.49334177,0.74489075,
0_000000000000000001ae_61,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.014786899,0.13312271,0.1453793,0.5304606,
0_000000000000000001ae_62,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.017318875,-0.0570238,0.16991453,0.4401451,
0_000000000000000001ae_63,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.10205254,0.026042461,0.42311627,0.6574395,
0_000000000000000001ae_64,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.081795245,0.08307612,0.32428262,0.58897245,
0_000000000000000001ae_65,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.186409,-0.050477296,0.5105324,0.7548892,
0_000000000000000001ae_66,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.11545265,0.10098487,0.45439672,0.6943858,
0_000000000000000001ae_67,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.09944022,-0.024067104,0.446527,0.70127386,
0_000000000000000001ae_68,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.048338294,0.015468001,0.44354838,0.6988662,
0_000000000000000001ae_69,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.083657,0.040662438,0.412034,0.6666667,
0_000000000000000001ae_70,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.025657237,-0.0590989,0.42238268,0.69135326,
0_000000000000000001ae_71,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.035057485,-0.031219482,0.4902671,0.6890849,
0_000000000000000001ae_72,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.087762415,0.056792796,0.41849238,0.66624737,
0_000000000000000001ae_73,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.06515789,0.11247146,0.42245615,0.708125,
0_000000000000000001ae_74,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.10142356,0.03568679,0.23021108,0.49302512,
0_000000000000000001ae_75,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.09569889,0.101721525,0.44669604,0.67884713,
0_000000000000000001ae_76,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.045854926,0.03430307,0.562592,0.7849186,
0_000000000000000001ae_77,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.046031713,0.07786292,0.45159012,0.73132014,
0_000000000000000001ae_78,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.08015764,0.11794773,0.315969,0.63284695,
0_000000000000000001ae_79,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.08272782,0.03204687,0.18484001,0.54206294,
0_000000000000000001ae_80,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.08622095,0.088944614,0.29015374,0.6317442,
